 43;1028
 40;1028
 40;1008
 42;1008
 42;2008
 40;2008
 23;1014
 40;1014
 42;1014
 42;2017
 42;2027
 40;1027
 23;1027
 43;1027
 40;1004
 23;1004
 23;2031
 40;2031
 42;2031
 43;2031
 40;1012
 42;2030
 40;2010
 42;1010
 40;2022
 23;1006
 40;1006
 40;2032
 42;2032
 43;2032
 40;1032
 42;1032
 43;1032
 23;2026
 40;2026
 42;2026
 40;1023
 43;1023
 40;2012
 42;2012
 42;2011
 23;1011
 42;1013
 40;1013
 43;1013
 42;1022
 43;1033
 23;1001
 40;1001
 23;2001
 40;2001
 42;1015
 40;2015
 23;2015
 23;1002
 40;1002
 42;1002
 43;1002
 43;2014
 23;2017
 43;2028
 40;2028
 43;1017
 40;1017
 23;1020
 40;1020
 42;1020
 43;1020
 43;2033
 40;2016
 23;2016
 40;1016
 23;1016
 40;1024
 43;1024
 23;2024
 40;1003
 40;2003
 23;1029
 40;1029
 42;1029
 43;1029
 23;2029
210;2031
210;2014
210;1014
210;2020
210;2032
210;1026
